How to Make Pancakes,Learn how to make delicious pancakes from scratch with this easy recipe.,Food & Cooking,"pancakes, recipe, cooking, breakfast",10:00,1/1/2021,"100,000","2,000",100,500
The History of Rome,A brief overview of the rise and fall of the Roman Empire.,Education,"history, Rome, ancient civilizations",15:30,11/15/2020,"50,000","1,000",50,250
Funny Cat Compilation,A collection of hilarious cat videos that will make you laugh out loud.,Pets & Animals,"cats, funny, cute, pets",5:00,2/14/2022,"1,000,000","20,000",500,"5,000"
Yoga for Beginners,A gentle yoga class perfect for those who are new to the practice.,Health & Fitness,"yoga, beginners, exercise, wellness",20:00,2/1/2022,"50,000","1,000",50,500
How to Start a Business,Tips and advice for aspiring entrepreneurs on how to start their own business.,Business & Finance,"entrepreneurship, business, startup, small business",30:00:00,8/15/2021,"10,000",500,20,100
Top 10 Sci-Fi Movies of All Time,A countdown of the greatest science fiction films ever made.,Film & Entertainment,"sci-fi, movies, top 10, film",12:00,10/10/2020,"100,000","2,500",100,"1,000"
30 Minute Cardio Workout,Burn calories and get your heart pumping with this intense cardio workout.,Health & Fitness,"cardio, workout, exercise, fitness",30:00:00,1/15/2022,"25,000",750,25,250
How to Make a DIY Face Mask,Learn how to make your own face mask at home with this easy tutorial.,DIY & Crafts,"face mask, DIY, tutorial, crafts",5:00,4/1/2021,"50,000","1,500",50,500
Top 5 Travel Destinations in Europe,"Discover the best places to visit in Europe, from stunning cities to breathtaking landscapes.",Travel & Tourism,"Europe, travel, top 5, tourism",8:00,3/1/2022,"75,000","2,000",75,750
How to Play Guitar for Beginners,Learn the basics of guitar playing with this comprehensive lesson for beginners.,Music & Arts,"guitar, beginners, music, tutorial",25:00:00,7/1/2021,"20,000",750,20,200
How to Paint a Landscape,Discover the art of painting landscapes with this beginner-friendly tutorial.,Art & Design,"painting, landscape, tutorial, art",20:00,2/1/2021,"5,000",200,10,50
The Science of Climate Change,An overview of the science behind climate change and its potential impact on the planet.,Science & Technology,"climate change, science, environment",8:00,2/15/2022,"100,000","3,000",100,"1,000"
Quick and Easy Dinner Ideas,Get inspired with these quick and easy dinner ideas that you can make in under 30 minutes.,Food & Cooking,"dinner, recipes, quick and easy, cooking",15:00,10/1/2021,"50,000","1,500",50,500
How to Build a Website,"A step-by-step guide on how to build a website from scratch, no coding experience required.",Web Development,"website, coding, tutorial, web development",45:00:00,6/1/2021,"10,000",500,20,200
Virtual Museum Tour,Take a virtual tour of some of the world's most famous museums from the comfort of your home.,Education,"museum, virtual tour, art, history",30:00:00,1/1/2022,"25,000","1,000",25,500
The Benefits of Meditation,"Learn about the many benefits of meditation for your mind, body, and spirit.",Health & Wellness,"meditation, mindfulness, wellness",10:00,3/15/2021,"75,000","2,500",75,750
Top 5 Fashion Trends for Spring,Stay on trend this season with these five must-have fashion items.,Fashion & Beauty,"fashion, trends, spring, style",6:00,3/15/2022,"10,000",500,10,100
Best Horror Movies of All Time,"A list of the scariest horror movies ever made, perfect for Halloween movie night.",Film & Entertainment,"horror, movies, top 10, film",15:00,10/20/2020,"50,000","1,500",50,500
Beginner's Guide to Investing,Learn the basics of investing and how to get started building your portfolio.,Business & Finance,"investing, finance, beginners, money",20:00,9/1/2021,"5,000",250,5,50
How to Train a Puppy,"Tips and tricks for training your new furry friend, from potty training to basic commands.",Pets & Animals,"puppy, training, pets, dogs",25:00:00,2/28/2022,"100,000","2,500",100,"1,000"